,window_start,ticker,symbol,contract_month,contract_year,transactions,open,high,low,close,session_end_date,settlement_price,dollar_volume,volume,timeframe
76,2026-01-14 20:05:00,MNQH6,MNQ,H,2026.0,16648,25523.5,25593.75,25518.5,25570.0,2026-01-14,,876431273,34280,5min
77,2026-01-14 20:15:00,MNQH6,MNQ,H,2026.0,9533,25553.75,25560.75,25520.0,25539.75,2026-01-14,,469027846,18366,5min
78,2026-01-14 20:20:00,MNQH6,MNQ,H,2026.0,7043,25540.25,25560.0,25527.75,25554.25,2026-01-14,,364209883,14257,5min
79,2026-01-14 20:25:00,MNQH6,MNQ,H,2026.0,5081,25554.75,25567.5,25543.0,25564.25,2026-01-14,,248255488,9714,5min
80,2026-01-14 21:50:00,MNQH6,MNQ,H,2026.0,2314,25621.0,25629.5,25552.25,25562.75,2026-01-14,,109310981,4271,5min
81,2026-01-14 21:55:00,MNQH6,MNQ,H,2026.0,1756,25562.25,25615.75,25557.5,25610.75,2026-01-14,,82463769,3222,5min
82,2026-01-15 01:30:00,MNQH6,MNQ,H,2026.0,3564,25614.0,25617.0,25562.5,25575.5,2026-01-15,,173993355,6801,5min
83,2026-01-15 04:50:00,MNQH6,MNQ,H,2026.0,672,25579.75,25582.5,25570.0,25572.25,2026-01-15,,37826747,1479,5min
84,2026-01-15 04:55:00,MNQH6,MNQ,H,2026.0,542,25572.5,25581.25,25570.75,25579.0,2026-01-15,,27648168,1081,5min
85,2026-01-15 05:00:00,MNQH6,MNQ,H,2026.0,679,25579.0,25590.0,25576.25,25589.5,2026-01-15,,38273724,1496,5min
86,2026-01-15 05:05:00,MNQH6,MNQ,H,2026.0,817,25590.0,25606.0,25589.75,25604.75,2026-01-15,,43388526,1695,5min
87,2026-01-15 05:10:00,MNQH6,MNQ,H,2026.0,1230,25604.5,25613.25,25598.5,25609.0,2026-01-15,,66270604,2588,5min
88,2026-01-15 05:25:00,MNQH6,MNQ,H,2026.0,593,25610.5,25612.75,25604.5,25610.75,2026-01-15,,31140752,1216,5min
89,2026-01-15 05:35:00,MNQH6,MNQ,H,2026.0,1069,25613.75,25628.0,25608.5,25622.5,2026-01-15,,58279931,2275,5min
90,2026-01-15 06:00:00,MNQH6,MNQ,H,2026.0,1042,25622.0,25626.75,25611.0,25626.0,2026-01-15,,53874341,2103,5min
91,2026-01-15 06:05:00,MNQH6,MNQ,H,2026.0,640,25626.5,25631.75,25622.75,25626.25,2026-01-15,,31675408,1236,5min
92,2026-01-15 06:10:00,MNQH6,MNQ,H,2026.0,2107,25626.5,25655.0,25625.75,25645.5,2026-01-15,,107274570,4183,5min
93,2026-01-15 06:15:00,MNQH6,MNQ,H,2026.0,5102,25646.0,25707.75,25644.25,25705.5,2026-01-15,,252392289,9826,5min
94,2026-01-15 08:00:00,MNQH6,MNQ,H,2026.0,1615,25689.5,25696.0,25673.5,25681.0,2026-01-15,,81440670,3171,5min
95,2026-01-15 08:05:00,MNQH6,MNQ,H,2026.0,1923,25680.75,25719.25,25680.25,25718.5,2026-01-15,,99650565,3877,5min
96,2026-01-15 08:15:00,MNQH6,MNQ,H,2026.0,1609,25719.75,25731.75,25704.0,25708.75,2026-01-15,,80315943,3123,5min
97,2026-01-15 08:20:00,MNQH6,MNQ,H,2026.0,1321,25708.5,25729.75,25708.25,25717.75,2026-01-15,,66023916,2567,5min
98,2026-01-15 08:25:00,MNQH6,MNQ,H,2026.0,980,25717.75,25722.5,25709.0,25712.5,2026-01-15,,46953148,1826,5min
99,2026-01-15 08:30:00,MNQH6,MNQ,H,2026.0,812,25712.25,25722.75,25710.5,25721.75,2026-01-15,,43281119,1683,5min
100,2026-01-15 08:35:00,MNQH6,MNQ,H,2026.0,1052,25720.75,25728.0,25714.75,25722.0,2026-01-15,,76749733,2984,5min
101,2026-01-15 08:45:00,MNQH6,MNQ,H,2026.0,800,25731.25,25733.5,25718.0,25722.25,2026-01-15,,38845848,1510,5min
102,2026-01-15 08:50:00,MNQH6,MNQ,H,2026.0,625,25722.25,25731.75,25719.75,25729.0,2026-01-15,,34317873,1334,5min
103,2026-01-15 08:55:00,MNQH6,MNQ,H,2026.0,794,25729.0,25741.5,25727.25,25738.25,2026-01-15,,40560194,1576,5min
104,2026-01-15 09:00:00,MNQH6,MNQ,H,2026.0,2016,25737.25,25757.75,25733.25,25747.25,2026-01-15,,100227831,3893,5min
105,2026-01-15 09:05:00,MNQH6,MNQ,H,2026.0,1286,25747.5,25763.75,25745.25,25761.0,2026-01-15,,64568664,2507,5min
106,2026-01-15 09:10:00,MNQH6,MNQ,H,2026.0,1784,25761.0,25780.0,25761.0,25777.5,2026-01-15,,92292017,3581,5min
107,2026-01-15 09:15:00,MNQH6,MNQ,H,2026.0,1643,25777.25,25782.25,25762.5,25773.0,2026-01-15,,79795340,3096,5min
108,2026-01-15 09:20:00,MNQH6,MNQ,H,2026.0,1740,25773.0,25797.0,25772.75,25794.75,2026-01-15,,87784339,3404,5min
109,2026-01-15 09:25:00,MNQH6,MNQ,H,2026.0,1495,25795.25,25809.0,25795.0,25803.0,2026-01-15,,79368047,3076,5min
110,2026-01-15 10:20:00,MNQH6,MNQ,H,2026.0,1027,25820.25,25821.5,25800.0,25800.75,2026-01-15,,57294897,2220,5min
111,2026-01-15 10:25:00,MNQH6,MNQ,H,2026.0,973,25800.5,25815.0,25800.0,25813.75,2026-01-15,,56287874,2181,5min
112,2026-01-15 10:30:00,MNQH6,MNQ,H,2026.0,684,25814.0,25821.75,25808.5,25820.75,2026-01-15,,36424715,1411,5min
113,2026-01-15 20:50:00,MNQH6,MNQ,H,2026.0,9390,25695.0,25714.25,25680.75,25713.75,2026-01-15,,523840417,20384,5min
114,2026-01-15 20:55:00,MNQH6,MNQ,H,2026.0,9893,25713.75,25720.0,25689.0,25718.75,2026-01-15,,545607403,21228,5min
115,2026-01-15 21:20:00,MNQH6,MNQ,H,2026.0,608,25696.5,25703.0,25694.0,25699.5,2026-01-15,,32432365,1262,5min
116,2026-01-15 21:35:00,MNQH6,MNQ,H,2026.0,564,25698.75,25701.5,25695.0,25701.25,2026-01-15,,27291751,1062,5min
117,2026-01-15 21:40:00,MNQH6,MNQ,H,2026.0,665,25701.25,25708.0,25700.25,25705.0,2026-01-15,,35138377,1367,5min
118,2026-01-15 21:55:00,MNQH6,MNQ,H,2026.0,356,25704.5,25709.0,25703.25,25707.0,2026-01-15,,18791452,731,5min
119,2026-01-15 23:05:00,MNQH6,MNQ,H,2026.0,963,25715.5,25715.5,25704.25,25708.5,2026-01-16,,41212738,1603,5min
120,2026-01-15 23:10:00,MNQH6,MNQ,H,2026.0,696,25708.5,25724.0,25708.25,25723.0,2026-01-16,,34845189,1355,5min
121,2026-01-15 23:15:00,MNQH6,MNQ,H,2026.0,849,25723.75,25729.75,25720.0,25726.5,2026-01-16,,45250228,1759,5min
122,2026-01-15 23:20:00,MNQH6,MNQ,H,2026.0,846,25726.25,25732.5,25721.5,25732.25,2026-01-16,,39929529,1552,5min
123,2026-01-15 23:35:00,MNQH6,MNQ,H,2026.0,556,25732.75,25732.75,25722.5,25730.0,2026-01-16,,25083148,975,5min
124,2026-01-15 23:40:00,MNQH6,MNQ,H,2026.0,347,25729.5,25733.25,25725.25,25732.25,2026-01-16,,17624179,685,5min
